class,cap-shape,cap-surface,cap-color,bruises,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,n,t,c,n,k,e,e,s,s,w,w,o,p,k,s,u
e,x,s,y,t,c,b,k,e,c,s,s,w,w,o,p,n,n,g
e,b,s,w,t,c,b,n,e,c,s,s,w,w,o,p,n,n,m
p,x,y,w,t,c,n,n,e,e,s,s,w,w,o,p,k,s,u
e,x,s,g,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
e,x,y,y,t,c,b,n,e,c,s,s,w,w,o,p,k,n,g
e,b,s,w,t,c,b,g,e,c,s,s,w,w,o,p,k,n,m
e,b,y,w,t,c,b,n,e,c,s,s,w,w,o,p,n,s,m
p,x,y,w,t,c,n,p,e,e,s,s,w,w,o,p,k,v,g
e,b,s,y,t,c,b,g,e,c,s,s,w,w,o,p,k,s,m
e,x,y,y,t,c,b,g,e,c,s,s,w,w,o,p,n,n,g
e,x,y,y,t,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,b,s,y,t,c,b,w,e,c,s,s,w,w,o,p,n,s,g
p,x,y,w,t,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,x,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g
e,s,f,g,f,c,n,k,e,e,s,s,w,w,o,p,n,y,u
e,f,f,w,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
p,x,s,n,t,c,n,n,e,e,s,s,w,w,o,p,k,s,g
p,x,y,w,t,c,n,n,e,e,s,s,w,w,o,p,n,s,u
p,x,s,n,t,c,n,k,e,e,s,s,w,w,o,p,n,s,u
e,b,s,y,t,c,b,k,e,c,s,s,w,w,o,p,n,s,m
p,x,y,n,t,c,n,n,e,e,s,s,w,w,o,p,n,v,g
e,b,y,y,t,c,b,k,e,c,s,s,w,w,o,p,n,s,m
e,b,y,w,t,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,b,s,w,t,c,b,g,e,c,s,s,w,w,o,p,k,s,m
p,f,s,w,t,c,n,n,e,e,s,s,w,w,o,p,n,v,g
e,x,y,y,t,c,b,n,e,c,s,s,w,w,o,p,n,n,m
e,x,y,w,t,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,f,f,n,f,c,n,k,e,e,s,s,w,w,o,p,k,y,u
e,x,s,y,t,w,n,n,t,b,s,s,w,w,o,p,n,v,d
e,b,s,y,t,c,b,g,e,c,s,s,w,w,o,p,n,n,m
p,x,y,w,t,c,n,k,e,e,s,s,w,w,o,p,n,s,u
e,x,y,y,t,c,b,n,e,c,s,s,w,w,o,p,n,n,m
e,x,y,n,t,c,b,p,e,r,s,y,w,w,o,p,n,y,p
e,b,y,y,t,c,b,n,e,c,s,s,w,w,o,p,n,s,m
e,x,f,y,t,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,s,f,g,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u
p,x,y,n,t,c,n,w,e,e,s,s,w,w,o,p,n,s,u
e,x,f,y,t,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,b,s,y,t,c,b,k,e,c,s,s,w,w,o,p,k,s,m
e,b,y,y,t,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,x,y,y,t,c,b,n,e,r,s,y,w,w,o,p,k,y,p
e,x,f,n,f,c,n,g,e,e,s,s,w,w,o,p,k,y,u
p,x,y,w,t,c,n,p,e,e,s,s,w,w,o,p,n,v,g
e,x,s,y,t,c,b,w,e,c,s,s,w,w,o,p,k,n,m
e,x,y,w,t,c,b,n,e,c,s,s,w,w,o,p,n,n,g
e,x,y,y,t,c,b,k,e,c,s,s,w,w,o,p,k,s,m
e,x,s,w,t,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,x,y,y,t,c,b,n,e,r,s,y,w,w,o,p,n,s,p
e,f,y,y,t,c,b,w,e,r,s,y,w,w,o,p,k,s,p
e,x,y,n,t,c,b,w,e,r,s,y,w,w,o,p,k,s,g
e,x,s,w,t,c,b,k,e,c,s,s,w,w,o,p,k,s,g
e,b,s,w,t,c,b,k,e,c,s,s,w,w,o,p,n,n,m
p,x,y,n,t,c,n,k,e,e,s,s,w,w,o,p,n,v,u
p,x,s,w,t,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,b,y,y,t,c,b,w,e,c,s,s,w,w,o,p,k,s,m
e,f,f,g,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,b,s,w,t,c,b,w,e,c,s,s,w,w,o,p,n,n,g
e,x,s,y,t,c,b,k,e,c,s,s,w,w,o,p,k,n,g
e,x,y,n,t,c,b,p,e,r,s,y,w,w,o,p,k,y,p
e,s,f,g,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,b,y,y,t,c,b,k,e,c,s,s,w,w,o,p,n,s,m
e,b,s,y,t,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,b,y,y,t,c,b,g,e,c,s,s,w,w,o,p,n,n,m
e,b,y,w,t,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,f,s,n,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,x,s,w,t,c,b,n,e,c,s,s,w,w,o,p,k,s,g
e,f,y,y,t,c,b,w,e,r,s,y,w,w,o,p,n,s,g
e,x,y,y,t,c,b,w,e,c,s,s,w,w,o,p,k,n,g
e,x,f,g,f,c,n,p,e,e,s,s,w,w,o,p,n,v,u
e,f,f,y,t,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,b,y,w,t,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,f,f,y,t,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,x,y,n,t,c,b,p,e,r,s,y,w,w,o,p,k,s,p
e,b,s,y,t,c,b,k,e,c,s,s,w,w,o,p,k,s,g
e,f,s,y,t,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,x,s,w,t,w,n,n,t,b,s,s,w,w,o,p,u,v,d
